product_id,style_code,cluster_id,brand,title,category,subcategory,gender,season,fit,color,material,price_tier,price_usd,launch_calendar_week,feature_1,feature_2,feature_3,core_term_1,core_term_2,core_term_3,description
P1000,RUN_NEUTRAL-001,RUN_NEUTRAL,UrbanPeak,UrbanPeak Signature Neutral Road Running Shoe - Black,Footwear,Running Shoes,Women,All-Season,Athletic,Black,Engineered Mesh,Mid,66.05,21,UPF 50,Gusseted tongue,4-way stretch,heel-to-toe transition,neutral cushioning,responsive midsole,"UrbanPeak Signature Neutral Road Running Shoe - Black pairs a athletic fit with engineered mesh for all season wear. Designed for running shoes, it features upf 50 and gusseted tongue to enhance everyday performance. Expect heel-to-toe transition, neutral cushioning, and responsive midsole in a versatile black colorway. Ideal for daily miles, tempo efforts, and recovery jogs. Details include 4-way stretch, clean lines and minimal branding, grippy, durable outsole. Fit notes: secure lockdown with responsive feel."
P1001,RUN_NEUTRAL-002,RUN_NEUTRAL,EverNorth,EverNorth Everyday Neutral Road Running Shoe - Olive,Footwear,Running Shoes,Men,All-Season,Athletic,Olive,Engineered Mesh,Mid,56.4,41,Water-repellent,Seamless construction,Zippered hand pockets,responsive midsole,neutral cushioning,heel-to-toe transition,"EverNorth Everyday Neutral Road Running Shoe - Olive pairs a athletic fit with engineered mesh for all season wear. Designed for running shoes, it features water-repellent and seamless construction to enhance everyday performance. Expect responsive midsole, neutral cushioning, and heel-to-toe transition in a versatile olive colorway. Ideal for daily miles, tempo efforts, and recovery jogs. Details include zippered hand pockets, clean lines and minimal branding, grippy, durable outsole. Fit notes: secure lockdown with responsive feel. Made with recycled or responsibly sourced materials to lower environmental impact."
P1002,RUN_NEUTRAL-003,RUN_NEUTRAL,Trail&Town,Trail&Town Everyday Neutral Road Running Shoe - Teal,Footwear,Running Shoes,Unisex,All-Season,Athletic,Teal,Knit Upper,Mid,53.16,49,4-way stretch,Gusseted tongue,Media pocket,responsive midsole,heel-to-toe transition,neutral cushioning,"Trail&Town Everyday Neutral Road Running Shoe - Teal pairs a athletic fit with knit upper for all season wear. Designed for running shoes, it features 4-way stretch and gusseted tongue to enhance everyday performance. Expect responsive midsole, heel-to-toe transition, and neutral cushioning in a versatile teal colorway. Ideal for daily miles, tempo efforts, and recovery jogs. Details include media pocket. Fit notes: secure lockdown with responsive feel."
P1003,RUN_NEUTRAL-004,RUN_NEUTRAL,UrbanPeak,UrbanPeak Everyday Neutral Road Running Shoe - Burgundy,Footwear,Running Shoes,Unisex,All-Season,Athletic,Burgundy,Knit Upper,Premium,198.58,45,Water-repellent,Elastic cuffs,Ortholite insole,daily trainer,responsive midsole,heel-to-toe transition,"UrbanPeak Everyday Neutral Road Running Shoe - Burgundy pairs a athletic fit with knit upper for all season wear. Designed for running shoes, it features water-repellent and elastic cuffs to enhance everyday performance. Expect daily trainer, responsive midsole, and heel-to-toe transition in a versatile burgundy colorway. Ideal for daily miles, tempo efforts, and recovery jogs. Details include ortholite insole, clean lines and minimal branding, grippy, durable outsole. Fit notes: secure lockdown with responsive feel."
P1004,RUN_NEUTRAL-005,RUN_NEUTRAL,AstraRun,AstraRun Everyday Neutral Road Running Shoe - Stone,Footwear,Running Shoes,Men,All-Season,Athletic,Stone,Recycled Mesh,Premium,147.22,19,Zippered hand pockets,Quick-dry,Reflective trims,neutral cushioning,daily trainer,responsive midsole,"AstraRun Everyday Neutral Road Running Shoe - Stone pairs a athletic fit with recycled mesh for all season wear. Designed for running shoes, it features zippered hand pockets and quick-dry to enhance everyday performance. Expect neutral cushioning, daily trainer, and responsive midsole in a versatile stone colorway. Ideal for daily miles, tempo efforts, and recovery jogs. Details include reflective trims, grippy, durable outsole. Fit notes: secure lockdown with responsive feel."
P1005,HIK_WATERPROOF-001,HIK_WATERPROOF,EverNorth,EverNorth Trail Waterproof Hiking Boot - Stone,Footwear,Hiking Boots,Unisex,FW,Regular,Stone,GORE-TEX,Mid,74.98,43,Anti-odor,Reflective trims,Gusseted tongue,ankle support,durable toe cap,trail-ready grip,"EverNorth Trail Waterproof Hiking Boot - Stone pairs a regular fit with gore-tex for fw wear. Designed for hiking boots, it features anti-odor and reflective trims to enhance everyday performance. Expect ankle support, durable toe cap, and trail-ready grip in a versatile stone colorway. Ideal for muddy switchbacks, rocky scrambles, and long day hikes. Details include gusseted tongue, clean lines and minimal branding, grippy, durable outsole. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1006,HIK_WATERPROOF-002,HIK_WATERPROOF,UrbanPeak,UrbanPeak Pro Waterproof Hiking Boot - Navy,Footwear,Hiking Boots,Unisex,FW,Regular,Navy,GORE-TEX,Premium,245.27,35,Heel pull tab,4-way stretch,Breathable panels,durable toe cap,ankle support,trail-ready grip,"UrbanPeak Pro Waterproof Hiking Boot - Navy pairs a regular fit with gore-tex for fw wear. Designed for hiking boots, it features heel pull tab and 4-way stretch to enhance everyday performance. Expect durable toe cap, ankle support, and trail-ready grip in a versatile navy colorway. Ideal for muddy switchbacks, rocky scrambles, and long day hikes. Details include breathable panels, grippy, durable outsole. Fit notes: true to size; layer comfortably underneath."
P1007,HIK_WATERPROOF-003,HIK_WATERPROOF,AstraRun,AstraRun Everyday Waterproof Hiking Boot - Blush,Footwear,Hiking Boots,Unisex,FW,Regular,Blush,GORE-TEX,Mid,110.07,2,Water-repellent,Cushioned collar,Moisture-wicking,ankle support,durable toe cap,waterproof membrane,"AstraRun Everyday Waterproof Hiking Boot - Blush pairs a regular fit with gore-tex for fw wear. Designed for hiking boots, it features water-repellent and cushioned collar to enhance everyday performance. Expect ankle support, durable toe cap, and waterproof membrane in a versatile blush colorway. Ideal for muddy switchbacks, rocky scrambles, and long day hikes. Details include moisture-wicking. Fit notes: true to size; layer comfortably underneath. Made with recycled or responsibly sourced materials to lower environmental impact."
P1008,HIK_WATERPROOF-004,HIK_WATERPROOF,Fieldline,Fieldline Signature Waterproof Hiking Boot - Blush/Rust,Footwear,Hiking Boots,Men,FW,Regular,Blush/Rust,Full-Grain Leather,Budget,16.97,19,Heel pull tab,Zippered hand pockets,Carbon rubber outsole,waterproof membrane,durable toe cap,trail-ready grip,"Fieldline Signature Waterproof Hiking Boot - Blush/Rust pairs a regular fit with full-grain leather for fw wear. Designed for hiking boots, it features heel pull tab and zippered hand pockets to enhance everyday performance. Expect waterproof membrane, durable toe cap, and trail-ready grip in a versatile blush/rust colorway. Ideal for muddy switchbacks, rocky scrambles, and long day hikes. Details include carbon rubber outsole, grippy, durable outsole. Fit notes: true to size; layer comfortably underneath."
P1009,HIK_WATERPROOF-005,HIK_WATERPROOF,UrbanPeak,UrbanPeak Signature Waterproof Hiking Boot - Blush,Footwear,Hiking Boots,Women,FW,Regular,Blush,Nubuck,Mid,99.19,8,Carbon rubber outsole,Gusseted tongue,Water-repellent,ankle support,durable toe cap,trail-ready grip,"UrbanPeak Signature Waterproof Hiking Boot - Blush pairs a regular fit with nubuck for fw wear. Designed for hiking boots, it features carbon rubber outsole and gusseted tongue to enhance everyday performance. Expect ankle support, durable toe cap, and trail-ready grip in a versatile blush colorway. Ideal for muddy switchbacks, rocky scrambles, and long day hikes. Details include water-repellent. Fit notes: true to size; layer comfortably underneath."
